// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/3e0752e3-d299-4853-9c1b-ae74d9f98f80
// command took 3.84s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/3e0752e3-d299-4853-9c1b-ae74d9f98f80
// command took 8.66s and exited with 0
// ***** Done, took 00:00:12 (12.83 sec)   *****
// Found 2 benchmarks:
//   BoxingAndUnboxingBenchmarks.GetStringInterface: DefaultJob
//   BoxingAndUnboxingBenchmarks.GetStringGeneric: DefaultJob

// **************************
// Benchmark: BoxingAndUnboxingBenchmarks.GetStringInterface: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3e0752e3-d299-4853-9c1b-ae74d9f98f80.dll" --benchmarkName "BoxingAndUnboxingBenchmarks.GetStringInterface" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/3e0752e3-d299-4853-9c1b-ae74d9f98f80/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 809106.00 ns, 809.1060 us/op
WorkloadJitting  1: 1 op, 680770.00 ns, 680.7700 us/op

OverheadJitting  2: 16 op, 1530003.00 ns, 95.6252 us/op
WorkloadJitting  2: 16 op, 1636781.00 ns, 102.2988 us/op

WorkloadPilot    1: 16 op, 6920.00 ns, 432.5000 ns/op
WorkloadPilot    2: 32 op, 2658.00 ns, 83.0625 ns/op
WorkloadPilot    3: 64 op, 3739.00 ns, 58.4219 ns/op
WorkloadPilot    4: 128 op, 4035.00 ns, 31.5234 ns/op
WorkloadPilot    5: 256 op, 5291.00 ns, 20.6680 ns/op
WorkloadPilot    6: 512 op, 9545.00 ns, 18.6426 ns/op
WorkloadPilot    7: 1024 op, 17169.00 ns, 16.7666 ns/op
WorkloadPilot    8: 2048 op, 31001.00 ns, 15.1372 ns/op
WorkloadPilot    9: 4096 op, 60163.00 ns, 14.6882 ns/op
WorkloadPilot   10: 8192 op, 117720.00 ns, 14.3701 ns/op
WorkloadPilot   11: 16384 op, 325471.00 ns, 19.8652 ns/op
WorkloadPilot   12: 32768 op, 789923.00 ns, 24.1065 ns/op
WorkloadPilot   13: 65536 op, 1540746.00 ns, 23.5099 ns/op
WorkloadPilot   14: 131072 op, 2073360.00 ns, 15.8185 ns/op
WorkloadPilot   15: 262144 op, 5179237.00 ns, 19.7572 ns/op
WorkloadPilot   16: 524288 op, 8697520.00 ns, 16.5892 ns/op
WorkloadPilot   17: 1048576 op, 15757219.00 ns, 15.0273 ns/op
WorkloadPilot   18: 2097152 op, 34522109.00 ns, 16.4614 ns/op
WorkloadPilot   19: 4194304 op, 66372150.00 ns, 15.8244 ns/op
WorkloadPilot   20: 8388608 op, 200261360.00 ns, 23.8730 ns/op
WorkloadPilot   21: 16777216 op, 320553323.00 ns, 19.1065 ns/op
WorkloadPilot   22: 33554432 op, 513789311.00 ns, 15.3121 ns/op

OverheadWarmup   1: 33554432 op, 174278409.00 ns, 5.1939 ns/op
OverheadWarmup   2: 33554432 op, 170270288.00 ns, 5.0745 ns/op
OverheadWarmup   3: 33554432 op, 169529279.00 ns, 5.0524 ns/op
OverheadWarmup   4: 33554432 op, 167269793.00 ns, 4.9850 ns/op
OverheadWarmup   5: 33554432 op, 167520068.00 ns, 4.9925 ns/op
OverheadWarmup   6: 33554432 op, 168668226.00 ns, 5.0267 ns/op
OverheadWarmup   7: 33554432 op, 171347336.00 ns, 5.1065 ns/op
OverheadWarmup   8: 33554432 op, 167193271.00 ns, 4.9827 ns/op
OverheadWarmup   9: 33554432 op, 170598672.00 ns, 5.0842 ns/op
OverheadWarmup  10: 33554432 op, 169595519.00 ns, 5.0543 ns/op

OverheadActual   1: 33554432 op, 169192122.00 ns, 5.0423 ns/op
OverheadActual   2: 33554432 op, 170473135.00 ns, 5.0805 ns/op
OverheadActual   3: 33554432 op, 168162549.00 ns, 5.0116 ns/op
OverheadActual   4: 33554432 op, 169928347.00 ns, 5.0643 ns/op
OverheadActual   5: 33554432 op, 233222914.00 ns, 6.9506 ns/op
OverheadActual   6: 33554432 op, 256068608.00 ns, 7.6314 ns/op
OverheadActual   7: 33554432 op, 228093801.00 ns, 6.7977 ns/op
OverheadActual   8: 33554432 op, 166688309.00 ns, 4.9677 ns/op
OverheadActual   9: 33554432 op, 168384723.00 ns, 5.0183 ns/op
OverheadActual  10: 33554432 op, 166891026.00 ns, 4.9737 ns/op
OverheadActual  11: 33554432 op, 170443893.00 ns, 5.0796 ns/op
OverheadActual  12: 33554432 op, 169561937.00 ns, 5.0533 ns/op
OverheadActual  13: 33554432 op, 173296388.00 ns, 5.1646 ns/op
OverheadActual  14: 33554432 op, 169079401.00 ns, 5.0390 ns/op
OverheadActual  15: 33554432 op, 178187360.00 ns, 5.3104 ns/op

WorkloadWarmup   1: 33554432 op, 500021115.00 ns, 14.9018 ns/op
WorkloadWarmup   2: 33554432 op, 555192501.00 ns, 16.5460 ns/op
WorkloadWarmup   3: 33554432 op, 511397191.00 ns, 15.2408 ns/op
WorkloadWarmup   4: 33554432 op, 507625738.00 ns, 15.1284 ns/op
WorkloadWarmup   5: 33554432 op, 970797029.00 ns, 28.9320 ns/op
WorkloadWarmup   6: 33554432 op, 643153150.00 ns, 19.1675 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 508187842.00 ns, 15.1452 ns/op
WorkloadActual   2: 33554432 op, 505813191.00 ns, 15.0744 ns/op
WorkloadActual   3: 33554432 op, 562666675.00 ns, 16.7688 ns/op
WorkloadActual   4: 33554432 op, 561362297.00 ns, 16.7299 ns/op
WorkloadActual   5: 33554432 op, 564915770.00 ns, 16.8358 ns/op
WorkloadActual   6: 33554432 op, 577538988.00 ns, 17.2120 ns/op
WorkloadActual   7: 33554432 op, 523751146.00 ns, 15.6090 ns/op
