// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/8c473214-104a-4c33-b2a8-b19d3598ebfa
// command took 4.88s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/8c473214-104a-4c33-b2a8-b19d3598ebfa
// command took 8.55s and exited with 0
// ***** Done, took 00:00:13 (13.77 sec)   *****
// Found 3 benchmarks:
//   BoxingAndUnboxingBenchmarks.GetStringInterface: DefaultJob
//   BoxingAndUnboxingBenchmarks.GetStringGeneric: DefaultJob
//   BoxingAndUnboxingBenchmarks.GetStringGenericRef: DefaultJob

// **************************
// Benchmark: BoxingAndUnboxingBenchmarks.GetStringInterface: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8c473214-104a-4c33-b2a8-b19d3598ebfa.dll" --benchmarkName "BoxingAndUnboxingBenchmarks.GetStringInterface" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/8c473214-104a-4c33-b2a8-b19d3598ebfa/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 726826.00 ns, 726.8260 us/op
WorkloadJitting  1: 1 op, 609114.00 ns, 609.1140 us/op

OverheadJitting  2: 16 op, 1365628.00 ns, 85.3518 us/op
WorkloadJitting  2: 16 op, 1445561.00 ns, 90.3476 us/op

WorkloadPilot    1: 16 op, 11763.00 ns, 735.1875 ns/op
WorkloadPilot    2: 32 op, 2979.00 ns, 93.0938 ns/op
WorkloadPilot    3: 64 op, 3224.00 ns, 50.3750 ns/op
WorkloadPilot    4: 128 op, 4093.00 ns, 31.9766 ns/op
WorkloadPilot    5: 256 op, 5559.00 ns, 21.7148 ns/op
WorkloadPilot    6: 512 op, 8722.00 ns, 17.0352 ns/op
WorkloadPilot    7: 1024 op, 15243.00 ns, 14.8857 ns/op
WorkloadPilot    8: 2048 op, 28192.00 ns, 13.7656 ns/op
WorkloadPilot    9: 4096 op, 55274.00 ns, 13.4946 ns/op
WorkloadPilot   10: 8192 op, 127592.00 ns, 15.5752 ns/op
WorkloadPilot   11: 16384 op, 297307.00 ns, 18.1462 ns/op
WorkloadPilot   12: 32768 op, 692267.00 ns, 21.1263 ns/op
WorkloadPilot   13: 65536 op, 1389978.00 ns, 21.2094 ns/op
WorkloadPilot   14: 131072 op, 1834527.00 ns, 13.9963 ns/op
WorkloadPilot   15: 262144 op, 3674139.00 ns, 14.0157 ns/op
WorkloadPilot   16: 524288 op, 7665294.00 ns, 14.6204 ns/op
WorkloadPilot   17: 1048576 op, 14461625.00 ns, 13.7917 ns/op
WorkloadPilot   18: 2097152 op, 29278332.00 ns, 13.9610 ns/op
WorkloadPilot   19: 4194304 op, 55900421.00 ns, 13.3277 ns/op
