// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/f0292d06-9f7f-4e05-9ebf-a57a777a288b
// command took 6s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/f0292d06-9f7f-4e05-9ebf-a57a777a288b
// command took 8.15s and exited with 0
// ***** Done, took 00:00:14 (14.5 sec)   *****
// Found 2 benchmarks:
//   ClassVsStructBenchmarks.ClassArrayAccess: DefaultJob
//   ClassVsStructBenchmarks.StructArrayAccess: DefaultJob

// **************************
// Benchmark: ClassVsStructBenchmarks.ClassArrayAccess: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f0292d06-9f7f-4e05-9ebf-a57a777a288b.dll" --benchmarkName "ClassVsStructBenchmarks.ClassArrayAccess" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/f0292d06-9f7f-4e05-9ebf-a57a777a288b/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 580420.00 ns, 580.4200 us/op
WorkloadJitting  1: 1 op, 2877864.00 ns, 2.8779 ms/op

OverheadJitting  2: 16 op, 1045690.00 ns, 65.3556 us/op
WorkloadJitting  2: 16 op, 38605329.00 ns, 2.4128 ms/op

WorkloadPilot    1: 16 op, 37257278.00 ns, 2.3286 ms/op
WorkloadPilot    2: 32 op, 71411394.00 ns, 2.2316 ms/op
WorkloadPilot    3: 64 op, 168287126.00 ns, 2.6295 ms/op
WorkloadPilot    4: 128 op, 276370241.00 ns, 2.1591 ms/op
WorkloadPilot    5: 256 op, 565756942.00 ns, 2.2100 ms/op

OverheadWarmup   1: 256 op, 7886.00 ns, 30.8047 ns/op
OverheadWarmup   2: 256 op, 909.00 ns, 3.5508 ns/op
OverheadWarmup   3: 256 op, 960.00 ns, 3.7500 ns/op
OverheadWarmup   4: 256 op, 962.00 ns, 3.7578 ns/op
OverheadWarmup   5: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   6: 256 op, 797.00 ns, 3.1133 ns/op
OverheadWarmup   7: 256 op, 789.00 ns, 3.0820 ns/op
OverheadWarmup   8: 256 op, 814.00 ns, 3.1797 ns/op
OverheadWarmup   9: 256 op, 838.00 ns, 3.2734 ns/op
OverheadWarmup  10: 256 op, 835.00 ns, 3.2617 ns/op

OverheadActual   1: 256 op, 796.00 ns, 3.1094 ns/op
OverheadActual   2: 256 op, 803.00 ns, 3.1367 ns/op
OverheadActual   3: 256 op, 878.00 ns, 3.4297 ns/op
OverheadActual   4: 256 op, 1210.00 ns, 4.7266 ns/op
OverheadActual   5: 256 op, 993.00 ns, 3.8789 ns/op
OverheadActual   6: 256 op, 971.00 ns, 3.7930 ns/op
OverheadActual   7: 256 op, 944.00 ns, 3.6875 ns/op
OverheadActual   8: 256 op, 799.00 ns, 3.1211 ns/op
OverheadActual   9: 256 op, 836.00 ns, 3.2656 ns/op
OverheadActual  10: 256 op, 1127.00 ns, 4.4023 ns/op
OverheadActual  11: 256 op, 1760.00 ns, 6.8750 ns/op
OverheadActual  12: 256 op, 798.00 ns, 3.1172 ns/op
OverheadActual  13: 256 op, 899.00 ns, 3.5117 ns/op
OverheadActual  14: 256 op, 886.00 ns, 3.4609 ns/op
OverheadActual  15: 256 op, 854.00 ns, 3.3359 ns/op
OverheadActual  16: 256 op, 805.00 ns, 3.1445 ns/op
OverheadActual  17: 256 op, 805.00 ns, 3.1445 ns/op
OverheadActual  18: 256 op, 861.00 ns, 3.3633 ns/op
OverheadActual  19: 256 op, 806.00 ns, 3.1484 ns/op
OverheadActual  20: 256 op, 840.00 ns, 3.2813 ns/op

WorkloadWarmup   1: 256 op, 549361369.00 ns, 2.1459 ms/op
WorkloadWarmup   2: 256 op, 559362757.00 ns, 2.1850 ms/op
WorkloadWarmup   3: 256 op, 547898775.00 ns, 2.1402 ms/op
WorkloadWarmup   4: 256 op, 691017148.00 ns, 2.6993 ms/op
WorkloadWarmup   5: 256 op, 753665519.00 ns, 2.9440 ms/op
WorkloadWarmup   6: 256 op, 569557943.00 ns, 2.2248 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 566650325.00 ns, 2.2135 ms/op
WorkloadActual   2: 256 op, 551627811.00 ns, 2.1548 ms/op
WorkloadActual   3: 256 op, 550879430.00 ns, 2.1519 ms/op
WorkloadActual   4: 256 op, 551382262.00 ns, 2.1538 ms/op
WorkloadActual   5: 256 op, 546959775.00 ns, 2.1366 ms/op
WorkloadActual   6: 256 op, 564778846.00 ns, 2.2062 ms/op
WorkloadActual   7: 256 op, 554256546.00 ns, 2.1651 ms/op
WorkloadActual   8: 256 op, 552407360.00 ns, 2.1578 ms/op
WorkloadActual   9: 256 op, 557744876.00 ns, 2.1787 ms/op
WorkloadActual  10: 256 op, 579823292.00 ns, 2.2649 ms/op
WorkloadActual  11: 256 op, 679489119.00 ns, 2.6543 ms/op
WorkloadActual  12: 256 op, 686160482.00 ns, 2.6803 ms/op
WorkloadActual  13: 256 op, 618411800.00 ns, 2.4157 ms/op
WorkloadActual  14: 256 op, 668825694.00 ns, 2.6126 ms/op
WorkloadActual  15: 256 op, 585259246.00 ns, 2.2862 ms/op
WorkloadActual  16: 256 op, 555095588.00 ns, 2.1683 ms/op
WorkloadActual  17: 256 op, 553863700.00 ns, 2.1635 ms/op
WorkloadActual  18: 256 op, 568983113.00 ns, 2.2226 ms/op
WorkloadActual  19: 256 op, 615534048.00 ns, 2.4044 ms/op
WorkloadActual  20: 256 op, 737206270.00 ns, 2.8797 ms/op
WorkloadActual  21: 256 op, 550734421.00 ns, 2.1513 ms/op
WorkloadActual  22: 256 op, 550739955.00 ns, 2.1513 ms/op
WorkloadActual  23: 256 op, 570939601.00 ns, 2.2302 ms/op
WorkloadActual  24: 256 op, 564840359.00 ns, 2.2064 ms/op
WorkloadActual  25: 256 op, 553156919.00 ns, 2.1608 ms/op
WorkloadActual  26: 256 op, 556948406.00 ns, 2.1756 ms/op
WorkloadActual  27: 256 op, 550508462.00 ns, 2.1504 ms/op
WorkloadActual  28: 256 op, 565325578.00 ns, 2.2083 ms/op
WorkloadActual  29: 256 op, 551620737.00 ns, 2.1548 ms/op
WorkloadActual  30: 256 op, 551096588.00 ns, 2.1527 ms/op
WorkloadActual  31: 256 op, 560150243.00 ns, 2.1881 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 566649467.50 ns, 2.2135 ms/op
WorkloadResult   2: 256 op, 551626953.50 ns, 2.1548 ms/op
WorkloadResult   3: 256 op, 550878572.50 ns, 2.1519 ms/op
WorkloadResult   4: 256 op, 551381404.50 ns, 2.1538 ms/op
WorkloadResult   5: 256 op, 546958917.50 ns, 2.1366 ms/op
WorkloadResult   6: 256 op, 564777988.50 ns, 2.2062 ms/op
WorkloadResult   7: 256 op, 554255688.50 ns, 2.1651 ms/op
WorkloadResult   8: 256 op, 552406502.50 ns, 2.1578 ms/op
WorkloadResult   9: 256 op, 557744018.50 ns, 2.1787 ms/op
WorkloadResult  10: 256 op, 579822434.50 ns, 2.2649 ms/op
WorkloadResult  11: 256 op, 618410942.50 ns, 2.4157 ms/op
WorkloadResult  12: 256 op, 585258388.50 ns, 2.2862 ms/op
WorkloadResult  13: 256 op, 555094730.50 ns, 2.1683 ms/op
WorkloadResult  14: 256 op, 553862842.50 ns, 2.1635 ms/op
WorkloadResult  15: 256 op, 568982255.50 ns, 2.2226 ms/op
WorkloadResult  16: 256 op, 615533190.50 ns, 2.4044 ms/op
WorkloadResult  17: 256 op, 550733563.50 ns, 2.1513 ms/op
WorkloadResult  18: 256 op, 550739097.50 ns, 2.1513 ms/op
WorkloadResult  19: 256 op, 570938743.50 ns, 2.2302 ms/op
WorkloadResult  20: 256 op, 564839501.50 ns, 2.2064 ms/op
WorkloadResult  21: 256 op, 553156061.50 ns, 2.1608 ms/op
WorkloadResult  22: 256 op, 556947548.50 ns, 2.1756 ms/op
WorkloadResult  23: 256 op, 550507604.50 ns, 2.1504 ms/op
WorkloadResult  24: 256 op, 565324720.50 ns, 2.2083 ms/op
WorkloadResult  25: 256 op, 551619879.50 ns, 2.1548 ms/op
WorkloadResult  26: 256 op, 551095730.50 ns, 2.1527 ms/op
WorkloadResult  27: 256 op, 560149385.50 ns, 2.1881 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 2.1990 ms, StdErr = 0.0137 ms (0.62%); N = 27, StdDev = 0.0712 ms
Min = 2.1366 ms, Q1 = 2.1538 ms, Median = 2.1683 ms, Q3 = 2.2135 ms, Max = 2.4157 ms
IQR = 0.0596 ms, LowerFence = 2.0644 ms, UpperFence = 2.3029 ms
ConfidenceInterval = [2.1483 ms; 2.2498 ms] (CI 99.9%), Margin = 0.0508 ms (2.31% of Mean)
Skewness = 1.9, Kurtosis = 5.95, MValue = 2

// **************************
// Benchmark: ClassVsStructBenchmarks.StructArrayAccess: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f0292d06-9f7f-4e05-9ebf-a57a777a288b.dll" --benchmarkName "ClassVsStructBenchmarks.StructArrayAccess" --job "Default" --benchmarkId 1 in /Users/elliothurdiss/work/code/MemoryManagement/Tests/bin/RELEASE/netcoreapp2.2/f0292d06-9f7f-4e05-9ebf-a57a777a288b/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 559157.00 ns, 559.1570 us/op
WorkloadJitting  1: 1 op, 1934211.00 ns, 1.9342 ms/op

OverheadJitting  2: 16 op, 1546348.00 ns, 96.6468 us/op
WorkloadJitting  2: 16 op, 15973258.00 ns, 998.3286 us/op

WorkloadPilot    1: 16 op, 14968485.00 ns, 935.5303 us/op
WorkloadPilot    2: 32 op, 30807145.00 ns, 962.7233 us/op
WorkloadPilot    3: 64 op, 61121026.00 ns, 955.0160 us/op
WorkloadPilot    4: 128 op, 121679688.00 ns, 950.6226 us/op
WorkloadPilot    5: 256 op, 240586734.00 ns, 939.7919 us/op
WorkloadPilot    6: 512 op, 485028213.00 ns, 947.3207 us/op
WorkloadPilot    7: 1024 op, 957709186.00 ns, 935.2629 us/op

OverheadWarmup   1: 1024 op, 9352.00 ns, 9.1328 ns/op
OverheadWarmup   2: 1024 op, 2654.00 ns, 2.5918 ns/op
OverheadWarmup   3: 1024 op, 2645.00 ns, 2.5830 ns/op
OverheadWarmup   4: 1024 op, 2607.00 ns, 2.5459 ns/op
OverheadWarmup   5: 1024 op, 2635.00 ns, 2.5732 ns/op
OverheadWarmup   6: 1024 op, 2650.00 ns, 2.5879 ns/op
OverheadWarmup   7: 1024 op, 2653.00 ns, 2.5908 ns/op
OverheadWarmup   8: 1024 op, 2774.00 ns, 2.7090 ns/op
OverheadWarmup   9: 1024 op, 2702.00 ns, 2.6387 ns/op
OverheadWarmup  10: 1024 op, 2658.00 ns, 2.5957 ns/op

OverheadActual   1: 1024 op, 2626.00 ns, 2.5645 ns/op
OverheadActual   2: 1024 op, 2628.00 ns, 2.5664 ns/op
OverheadActual   3: 1024 op, 2760.00 ns, 2.6953 ns/op
OverheadActual   4: 1024 op, 2988.00 ns, 2.9180 ns/op
OverheadActual   5: 1024 op, 2640.00 ns, 2.5781 ns/op
OverheadActual   6: 1024 op, 3211.00 ns, 3.1357 ns/op
OverheadActual   7: 1024 op, 3039.00 ns, 2.9678 ns/op
OverheadActual   8: 1024 op, 2706.00 ns, 2.6426 ns/op
OverheadActual   9: 1024 op, 3473.00 ns, 3.3916 ns/op
OverheadActual  10: 1024 op, 2627.00 ns, 2.5654 ns/op
OverheadActual  11: 1024 op, 2653.00 ns, 2.5908 ns/op
OverheadActual  12: 1024 op, 2834.00 ns, 2.7676 ns/op
OverheadActual  13: 1024 op, 2643.00 ns, 2.5811 ns/op
OverheadActual  14: 1024 op, 2761.00 ns, 2.6963 ns/op
OverheadActual  15: 1024 op, 2617.00 ns, 2.5557 ns/op
OverheadActual  16: 1024 op, 2633.00 ns, 2.5713 ns/op
OverheadActual  17: 1024 op, 4086.00 ns, 3.9902 ns/op
OverheadActual  18: 1024 op, 2789.00 ns, 2.7236 ns/op
OverheadActual  19: 1024 op, 2717.00 ns, 2.6533 ns/op
OverheadActual  20: 1024 op, 2693.00 ns, 2.6299 ns/op

WorkloadWarmup   1: 1024 op, 975642825.00 ns, 952.7762 us/op
WorkloadWarmup   2: 1024 op, 965157795.00 ns, 942.5369 us/op
WorkloadWarmup   3: 1024 op, 951971698.00 ns, 929.6599 us/op
WorkloadWarmup   4: 1024 op, 951188191.00 ns, 928.8947 us/op
WorkloadWarmup   5: 1024 op, 972086971.00 ns, 949.3037 us/op
WorkloadWarmup   6: 1024 op, 960345542.00 ns, 937.8374 us/op
WorkloadWarmup   7: 1024 op, 967003390.00 ns, 944.3392 us/op
WorkloadWarmup   8: 1024 op, 978083123.00 ns, 955.1593 us/op
WorkloadWarmup   9: 1024 op, 967473958.00 ns, 944.7988 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 979336076.00 ns, 956.3829 us/op
WorkloadActual   2: 1024 op, 946433051.00 ns, 924.2510 us/op
WorkloadActual   3: 1024 op, 987613978.00 ns, 964.4668 us/op
WorkloadActual   4: 1024 op, 1093971249.00 ns, 1.0683 ms/op
WorkloadActual   5: 1024 op, 1009211049.00 ns, 985.5577 us/op
WorkloadActual   6: 1024 op, 961237405.00 ns, 938.7084 us/op
WorkloadActual   7: 1024 op, 1077084017.00 ns, 1.0518 ms/op
WorkloadActual   8: 1024 op, 954140225.00 ns, 931.7776 us/op
WorkloadActual   9: 1024 op, 967336213.00 ns, 944.6643 us/op
WorkloadActual  10: 1024 op, 947969037.00 ns, 925.7510 us/op
WorkloadActual  11: 1024 op, 949816653.00 ns, 927.5553 us/op
WorkloadActual  12: 1024 op, 965808722.00 ns, 943.1726 us/op
WorkloadActual  13: 1024 op, 955997595.00 ns, 933.5914 us/op
WorkloadActual  14: 1024 op, 960815102.00 ns, 938.2960 us/op
WorkloadActual  15: 1024 op, 993996983.00 ns, 970.7002 us/op
WorkloadActual  16: 1024 op, 952655174.00 ns, 930.3273 us/op
WorkloadActual  17: 1024 op, 954081963.00 ns, 931.7207 us/op
WorkloadActual  18: 1024 op, 969193066.00 ns, 946.4776 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 979333364.50 ns, 956.3802 us/op
WorkloadResult   2: 1024 op, 946430339.50 ns, 924.2484 us/op
WorkloadResult   3: 1024 op, 987611266.50 ns, 964.4641 us/op
WorkloadResult   4: 1024 op, 1009208337.50 ns, 985.5550 us/op
