// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/elliothurdiss/work/code/MemoryManagement to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/f437589a-17b6-42ce-8259-6d0c6b183b9d
// command took 4.65s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/f437589a-17b6-42ce-8259-6d0c6b183b9d
// command took 7.31s and exited with 0
// ***** Done, took 00:00:12 (12.28 sec)   *****
// Found 3 benchmarks:
//   StackAllocationBenchmarks.Heap: DefaultJob
//   StackAllocationBenchmarks.Stack: DefaultJob
//   StackAllocationBenchmarks.StackSpan: DefaultJob

// **************************
// Benchmark: StackAllocationBenchmarks.Heap: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f437589a-17b6-42ce-8259-6d0c6b183b9d.dll" --benchmarkName "StackAllocationBenchmarks.Heap" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/f437589a-17b6-42ce-8259-6d0c6b183b9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 474045.00 ns, 474.0450 us/op
WorkloadJitting  1: 1 op, 974961.00 ns, 974.9610 us/op

OverheadJitting  2: 16 op, 498117.00 ns, 31.1323 us/op
WorkloadJitting  2: 16 op, 1396355.00 ns, 87.2722 us/op

WorkloadPilot    1: 16 op, 69585.00 ns, 4.3491 us/op
WorkloadPilot    2: 32 op, 128740.00 ns, 4.0231 us/op
WorkloadPilot    3: 64 op, 257111.00 ns, 4.0174 us/op
WorkloadPilot    4: 128 op, 547166.00 ns, 4.2747 us/op
WorkloadPilot    5: 256 op, 1284576.00 ns, 5.0179 us/op
WorkloadPilot    6: 512 op, 1938669.00 ns, 3.7865 us/op
WorkloadPilot    7: 1024 op, 4407228.00 ns, 4.3039 us/op
WorkloadPilot    8: 2048 op, 8835699.00 ns, 4.3143 us/op
WorkloadPilot    9: 4096 op, 19095462.00 ns, 4.6620 us/op
WorkloadPilot   10: 8192 op, 37338701.00 ns, 4.5579 us/op
WorkloadPilot   11: 16384 op, 63742512.00 ns, 3.8905 us/op
WorkloadPilot   12: 32768 op, 125391982.00 ns, 3.8267 us/op
WorkloadPilot   13: 65536 op, 248641999.00 ns, 3.7940 us/op
WorkloadPilot   14: 131072 op, 567974990.00 ns, 4.3333 us/op

OverheadWarmup   1: 131072 op, 335786.00 ns, 2.5618 ns/op
OverheadWarmup   2: 131072 op, 356655.00 ns, 2.7211 ns/op
OverheadWarmup   3: 131072 op, 326510.00 ns, 2.4911 ns/op
OverheadWarmup   4: 131072 op, 319436.00 ns, 2.4371 ns/op
OverheadWarmup   5: 131072 op, 370431.00 ns, 2.8262 ns/op
OverheadWarmup   6: 131072 op, 375048.00 ns, 2.8614 ns/op
OverheadWarmup   7: 131072 op, 409717.00 ns, 3.1259 ns/op
OverheadWarmup   8: 131072 op, 331350.00 ns, 2.5280 ns/op

OverheadActual   1: 131072 op, 431745.00 ns, 3.2940 ns/op
OverheadActual   2: 131072 op, 368087.00 ns, 2.8083 ns/op
OverheadActual   3: 131072 op, 352449.00 ns, 2.6890 ns/op
OverheadActual   4: 131072 op, 424735.00 ns, 3.2405 ns/op
OverheadActual   5: 131072 op, 351641.00 ns, 2.6828 ns/op
OverheadActual   6: 131072 op, 464655.00 ns, 3.5450 ns/op
OverheadActual   7: 131072 op, 369490.00 ns, 2.8190 ns/op
OverheadActual   8: 131072 op, 342834.00 ns, 2.6156 ns/op
OverheadActual   9: 131072 op, 334481.00 ns, 2.5519 ns/op
OverheadActual  10: 131072 op, 336726.00 ns, 2.5690 ns/op
OverheadActual  11: 131072 op, 416235.00 ns, 3.1756 ns/op
OverheadActual  12: 131072 op, 387916.00 ns, 2.9596 ns/op
OverheadActual  13: 131072 op, 354304.00 ns, 2.7031 ns/op
OverheadActual  14: 131072 op, 309713.00 ns, 2.3629 ns/op
OverheadActual  15: 131072 op, 361430.00 ns, 2.7575 ns/op
OverheadActual  16: 131072 op, 326671.00 ns, 2.4923 ns/op
OverheadActual  17: 131072 op, 410380.00 ns, 3.1310 ns/op
OverheadActual  18: 131072 op, 334709.00 ns, 2.5536 ns/op
OverheadActual  19: 131072 op, 326164.00 ns, 2.4884 ns/op
OverheadActual  20: 131072 op, 370306.00 ns, 2.8252 ns/op

WorkloadWarmup   1: 131072 op, 536224429.00 ns, 4.0911 us/op
WorkloadWarmup   2: 131072 op, 520556350.00 ns, 3.9715 us/op
WorkloadWarmup   3: 131072 op, 496149222.00 ns, 3.7853 us/op
WorkloadWarmup   4: 131072 op, 496144784.00 ns, 3.7853 us/op
WorkloadWarmup   5: 131072 op, 495557997.00 ns, 3.7808 us/op
WorkloadWarmup   6: 131072 op, 511478957.00 ns, 3.9023 us/op
WorkloadWarmup   7: 131072 op, 521726496.00 ns, 3.9805 us/op
WorkloadWarmup   8: 131072 op, 494358324.00 ns, 3.7717 us/op
WorkloadWarmup   9: 131072 op, 495299276.00 ns, 3.7788 us/op
WorkloadWarmup  10: 131072 op, 500856872.00 ns, 3.8212 us/op
WorkloadWarmup  11: 131072 op, 496656314.00 ns, 3.7892 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 497080860.00 ns, 3.7924 us/op
WorkloadActual   2: 131072 op, 495373887.00 ns, 3.7794 us/op
WorkloadActual   3: 131072 op, 501895714.00 ns, 3.8292 us/op
WorkloadActual   4: 131072 op, 496876481.00 ns, 3.7909 us/op
WorkloadActual   5: 131072 op, 494964705.00 ns, 3.7763 us/op
WorkloadActual   6: 131072 op, 495413126.00 ns, 3.7797 us/op
WorkloadActual   7: 131072 op, 495106572.00 ns, 3.7774 us/op
WorkloadActual   8: 131072 op, 496695597.00 ns, 3.7895 us/op
WorkloadActual   9: 131072 op, 494857310.00 ns, 3.7755 us/op
WorkloadActual  10: 131072 op, 495812237.00 ns, 3.7827 us/op
WorkloadActual  11: 131072 op, 494835925.00 ns, 3.7753 us/op
WorkloadActual  12: 131072 op, 495061453.00 ns, 3.7770 us/op
WorkloadActual  13: 131072 op, 497735384.00 ns, 3.7974 us/op
WorkloadActual  14: 131072 op, 502781776.00 ns, 3.8359 us/op
WorkloadActual  15: 131072 op, 499356711.00 ns, 3.8098 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 496722993.00 ns, 3.7897 us/op
WorkloadResult   2: 131072 op, 495016020.00 ns, 3.7767 us/op
WorkloadResult   3: 131072 op, 496518614.00 ns, 3.7881 us/op
WorkloadResult   4: 131072 op, 494606838.00 ns, 3.7736 us/op
WorkloadResult   5: 131072 op, 495055259.00 ns, 3.7770 us/op
WorkloadResult   6: 131072 op, 494748705.00 ns, 3.7746 us/op
WorkloadResult   7: 131072 op, 496337730.00 ns, 3.7868 us/op
WorkloadResult   8: 131072 op, 494499443.00 ns, 3.7727 us/op
WorkloadResult   9: 131072 op, 495454370.00 ns, 3.7800 us/op
WorkloadResult  10: 131072 op, 494478058.00 ns, 3.7726 us/op
WorkloadResult  11: 131072 op, 494703586.00 ns, 3.7743 us/op
WorkloadResult  12: 131072 op, 497377517.00 ns, 3.7947 us/op
WorkloadResult  13: 131072 op, 498998844.00 ns, 3.8071 us/op
GC:  0 0 0 0 131072

// AfterAll

Mean = 3.7821 us, StdErr = 0.0029 us (0.08%); N = 13, StdDev = 0.0105 us
Min = 3.7726 us, Q1 = 3.7739 us, Median = 3.7770 us, Q3 = 3.7889 us, Max = 3.8071 us
IQR = 0.0150 us, LowerFence = 3.7514 us, UpperFence = 3.8114 us
ConfidenceInterval = [3.7695 us; 3.7947 us] (CI 99.9%), Margin = 0.0126 us (0.33% of Mean)
Skewness = 0.97, Kurtosis = 2.81, MValue = 2

// **************************
// Benchmark: StackAllocationBenchmarks.Stack: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f437589a-17b6-42ce-8259-6d0c6b183b9d.dll" --benchmarkName "StackAllocationBenchmarks.Stack" --job "Default" --benchmarkId 1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/f437589a-17b6-42ce-8259-6d0c6b183b9d/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 470882.00 ns, 470.8820 us/op
WorkloadJitting  1: 1 op, 635208.00 ns, 635.2080 us/op

OverheadJitting  2: 16 op, 599397.00 ns, 37.4623 us/op
WorkloadJitting  2: 16 op, 1440868.00 ns, 90.0543 us/op

WorkloadPilot    1: 16 op, 1064373.00 ns, 66.5233 us/op
WorkloadPilot    2: 32 op, 1636686.00 ns, 51.1464 us/op
WorkloadPilot    3: 64 op, 2512358.00 ns, 39.2556 us/op
WorkloadPilot    4: 128 op, 4525146.00 ns, 35.3527 us/op
WorkloadPilot    5: 256 op, 10790080.00 ns, 42.1488 us/op
WorkloadPilot    6: 512 op, 20535895.00 ns, 40.1092 us/op
WorkloadPilot    7: 1024 op, 37799582.00 ns, 36.9137 us/op
WorkloadPilot    8: 2048 op, 71647914.00 ns, 34.9843 us/op
WorkloadPilot    9: 4096 op, 141898335.00 ns, 34.6431 us/op
WorkloadPilot   10: 8192 op, 287891560.00 ns, 35.1430 us/op
WorkloadPilot   11: 16384 op, 609165300.00 ns, 37.1805 us/op

OverheadWarmup   1: 16384 op, 44555.00 ns, 2.7194 ns/op
OverheadWarmup   2: 16384 op, 45500.00 ns, 2.7771 ns/op
OverheadWarmup   3: 16384 op, 45804.00 ns, 2.7957 ns/op
OverheadWarmup   4: 16384 op, 46443.00 ns, 2.8347 ns/op
OverheadWarmup   5: 16384 op, 40836.00 ns, 2.4924 ns/op
OverheadWarmup   6: 16384 op, 41097.00 ns, 2.5084 ns/op
OverheadWarmup   7: 16384 op, 40916.00 ns, 2.4973 ns/op

OverheadActual   1: 16384 op, 41029.00 ns, 2.5042 ns/op
OverheadActual   2: 16384 op, 37399.00 ns, 2.2827 ns/op
OverheadActual   3: 16384 op, 40814.00 ns, 2.4911 ns/op
OverheadActual   4: 16384 op, 39964.00 ns, 2.4392 ns/op
OverheadActual   5: 16384 op, 41137.00 ns, 2.5108 ns/op
OverheadActual   6: 16384 op, 41003.00 ns, 2.5026 ns/op
OverheadActual   7: 16384 op, 57577.00 ns, 3.5142 ns/op
OverheadActual   8: 16384 op, 40410.00 ns, 2.4664 ns/op
OverheadActual   9: 16384 op, 40434.00 ns, 2.4679 ns/op
OverheadActual  10: 16384 op, 46468.00 ns, 2.8362 ns/op
OverheadActual  11: 16384 op, 40800.00 ns, 2.4902 ns/op
OverheadActual  12: 16384 op, 36992.00 ns, 2.2578 ns/op
OverheadActual  13: 16384 op, 40887.00 ns, 2.4955 ns/op
OverheadActual  14: 16384 op, 45925.00 ns, 2.8030 ns/op
OverheadActual  15: 16384 op, 40359.00 ns, 2.4633 ns/op

WorkloadWarmup   1: 16384 op, 560187538.00 ns, 34.1911 us/op
WorkloadWarmup   2: 16384 op, 556421205.00 ns, 33.9613 us/op
WorkloadWarmup   3: 16384 op, 560279176.00 ns, 34.1967 us/op
WorkloadWarmup   4: 16384 op, 566457774.00 ns, 34.5738 us/op
WorkloadWarmup   5: 16384 op, 557455566.00 ns, 34.0244 us/op
WorkloadWarmup   6: 16384 op, 567937297.00 ns, 34.6641 us/op
WorkloadWarmup   7: 16384 op, 559148239.00 ns, 34.1277 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 586387585.00 ns, 35.7903 us/op
WorkloadActual   2: 16384 op, 571993953.00 ns, 34.9117 us/op
WorkloadActual   3: 16384 op, 557835782.00 ns, 34.0476 us/op
WorkloadActual   4: 16384 op, 557263352.00 ns, 34.0127 us/op
WorkloadActual   5: 16384 op, 609652811.00 ns, 37.2103 us/op
WorkloadActual   6: 16384 op, 744159137.00 ns, 45.4199 us/op
WorkloadActual   7: 16384 op, 711974568.00 ns, 43.4555 us/op
WorkloadActual   8: 16384 op, 711260281.00 ns, 43.4119 us/op
WorkloadActual   9: 16384 op, 659063558.00 ns, 40.2260 us/op
WorkloadActual  10: 16384 op, 751540116.00 ns, 45.8704 us/op
WorkloadActual  11: 16384 op, 572523554.00 ns, 34.9441 us/op
WorkloadActual  12: 16384 op, 563778277.00 ns, 34.4103 us/op
WorkloadActual  13: 16384 op, 563104075.00 ns, 34.3691 us/op
WorkloadActual  14: 16384 op, 668357306.00 ns, 40.7933 us/op
WorkloadActual  15: 16384 op, 573191044.00 ns, 34.9848 us/op
WorkloadActual  16: 16384 op, 560943009.00 ns, 34.2372 us/op
WorkloadActual  17: 16384 op, 562580664.00 ns, 34.3372 us/op
WorkloadActual  18: 16384 op, 655024297.00 ns, 39.9795 us/op
WorkloadActual  19: 16384 op, 725713354.00 ns, 44.2940 us/op
WorkloadActual  20: 16384 op, 597288693.00 ns, 36.4556 us/op
WorkloadActual  21: 16384 op, 590294500.00 ns, 36.0287 us/op
WorkloadActual  22: 16384 op, 639600982.00 ns, 39.0381 us/op
WorkloadActual  23: 16384 op, 694848384.00 ns, 42.4102 us/op
WorkloadActual  24: 16384 op, 730724864.00 ns, 44.5999 us/op
WorkloadActual  25: 16384 op, 603874721.00 ns, 36.8576 us/op
WorkloadActual  26: 16384 op, 692889325.00 ns, 42.2906 us/op
WorkloadActual  27: 16384 op, 578515880.00 ns, 35.3098 us/op
WorkloadActual  28: 16384 op, 567014082.00 ns, 34.6078 us/op
WorkloadActual  29: 16384 op, 559061819.00 ns, 34.1224 us/op
WorkloadActual  30: 16384 op, 555567980.00 ns, 33.9092 us/op
WorkloadActual  31: 16384 op, 560830830.00 ns, 34.2304 us/op
WorkloadActual  32: 16384 op, 561906362.00 ns, 34.2960 us/op
WorkloadActual  33: 16384 op, 559763798.00 ns, 34.1653 us/op
WorkloadActual  34: 16384 op, 559723051.00 ns, 34.1628 us/op
WorkloadActual  35: 16384 op, 586883882.00 ns, 35.8205 us/op
WorkloadActual  36: 16384 op, 638847653.00 ns, 38.9922 us/op
WorkloadActual  37: 16384 op, 677718126.00 ns, 41.3646 us/op
WorkloadActual  38: 16384 op, 782537215.00 ns, 47.7623 us/op
WorkloadActual  39: 16384 op, 767841688.00 ns, 46.8653 us/op
WorkloadActual  40: 16384 op, 587491429.00 ns, 35.8576 us/op
WorkloadActual  41: 16384 op, 578747486.00 ns, 35.3239 us/op
WorkloadActual  42: 16384 op, 570961573.00 ns, 34.8487 us/op
WorkloadActual  43: 16384 op, 584727883.00 ns, 35.6890 us/op
WorkloadActual  44: 16384 op, 558381710.00 ns, 34.0809 us/op
WorkloadActual  45: 16384 op, 559576925.00 ns, 34.1539 us/op
WorkloadActual  46: 16384 op, 591661603.00 ns, 36.1122 us/op
WorkloadActual  47: 16384 op, 558139935.00 ns, 34.0662 us/op
WorkloadActual  48: 16384 op, 557396524.00 ns, 34.0208 us/op
WorkloadActual  49: 16384 op, 556763180.00 ns, 33.9821 us/op
WorkloadActual  50: 16384 op, 556745650.00 ns, 33.9811 us/op
WorkloadActual  51: 16384 op, 561591840.00 ns, 34.2768 us/op
WorkloadActual  52: 16384 op, 559207556.00 ns, 34.1313 us/op
WorkloadActual  53: 16384 op, 557655750.00 ns, 34.0366 us/op
