// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/elliothurdiss/work/code/MemoryManagement to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/7dfe86d5-8fb4-444d-89c5-3f9459095858
// command took 4.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/7dfe86d5-8fb4-444d-89c5-3f9459095858
// command took 7.03s and exited with 0
// ***** Done, took 00:00:11 (11.74 sec)   *****
// Found 3 benchmarks:
//   StackAllocationBenchmarks.Heap: DefaultJob
//   StackAllocationBenchmarks.Stack: DefaultJob
//   StackAllocationBenchmarks.StackSpan: DefaultJob

// **************************
// Benchmark: StackAllocationBenchmarks.Heap: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7dfe86d5-8fb4-444d-89c5-3f9459095858.dll" --benchmarkName "StackAllocationBenchmarks.Heap" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/7dfe86d5-8fb4-444d-89c5-3f9459095858/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 484096.00 ns, 484.0960 us/op
WorkloadJitting  1: 1 op, 709355.00 ns, 709.3550 us/op

OverheadJitting  2: 16 op, 478948.00 ns, 29.9343 us/op
WorkloadJitting  2: 16 op, 533049.00 ns, 33.3156 us/op

WorkloadPilot    1: 16 op, 21796.00 ns, 1.3623 us/op
WorkloadPilot    2: 32 op, 34697.00 ns, 1.0843 us/op
WorkloadPilot    3: 64 op, 69701.00 ns, 1.0891 us/op
WorkloadPilot    4: 128 op, 292188.00 ns, 2.2827 us/op
WorkloadPilot    5: 256 op, 688240.00 ns, 2.6884 us/op
WorkloadPilot    6: 512 op, 1952994.00 ns, 3.8144 us/op
WorkloadPilot    7: 1024 op, 1267916.00 ns, 1.2382 us/op
WorkloadPilot    8: 2048 op, 4470649.00 ns, 2.1829 us/op
WorkloadPilot    9: 4096 op, 5371096.00 ns, 1.3113 us/op
WorkloadPilot   10: 8192 op, 11979266.00 ns, 1.4623 us/op
WorkloadPilot   11: 16384 op, 27065460.00 ns, 1.6519 us/op
WorkloadPilot   12: 32768 op, 40689881.00 ns, 1.2418 us/op
WorkloadPilot   13: 65536 op, 69892802.00 ns, 1.0665 us/op
WorkloadPilot   14: 131072 op, 144301495.00 ns, 1.1009 us/op
WorkloadPilot   15: 262144 op, 274845057.00 ns, 1.0485 us/op
WorkloadPilot   16: 524288 op, 529633711.00 ns, 1.0102 us/op

OverheadWarmup   1: 524288 op, 1483534.00 ns, 2.8296 ns/op
OverheadWarmup   2: 524288 op, 1492854.00 ns, 2.8474 ns/op
OverheadWarmup   3: 524288 op, 1291247.00 ns, 2.4629 ns/op
OverheadWarmup   4: 524288 op, 1258245.00 ns, 2.3999 ns/op
