// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/elliothurdiss/work/code/MemoryManagement to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61
// command took 4.05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61
// command took 6.59s and exited with 0
// ***** Done, took 00:00:10 (10.9 sec)   *****
// Found 3 benchmarks:
//   StackAllocationBenchmarks.Heap: DefaultJob
//   StackAllocationBenchmarks.Stack: DefaultJob
//   StackAllocationBenchmarks.StackSpan: DefaultJob

// **************************
// Benchmark: StackAllocationBenchmarks.Heap: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2d075a69-b784-4dc2-a55d-2178f660af61.dll" --benchmarkName "StackAllocationBenchmarks.Heap" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 477482.00 ns, 477.4820 us/op
WorkloadJitting  1: 1 op, 689674.00 ns, 689.6740 us/op

OverheadJitting  2: 16 op, 640685.00 ns, 40.0428 us/op
WorkloadJitting  2: 16 op, 536184.00 ns, 33.5115 us/op

WorkloadPilot    1: 16 op, 24130.00 ns, 1.5081 us/op
WorkloadPilot    2: 32 op, 36291.00 ns, 1.1341 us/op
WorkloadPilot    3: 64 op, 64788.00 ns, 1.0123 us/op
WorkloadPilot    4: 128 op, 284857.00 ns, 2.2254 us/op
WorkloadPilot    5: 256 op, 625775.00 ns, 2.4444 us/op
WorkloadPilot    6: 512 op, 1127946.00 ns, 2.2030 us/op
WorkloadPilot    7: 1024 op, 1309800.00 ns, 1.2791 us/op
WorkloadPilot    8: 2048 op, 2251245.00 ns, 1.0992 us/op
WorkloadPilot    9: 4096 op, 6418558.00 ns, 1.5670 us/op
WorkloadPilot   10: 8192 op, 13118415.00 ns, 1.6014 us/op
WorkloadPilot   11: 16384 op, 23432298.00 ns, 1.4302 us/op
WorkloadPilot   12: 32768 op, 36646521.00 ns, 1.1184 us/op
WorkloadPilot   13: 65536 op, 77349570.00 ns, 1.1803 us/op
WorkloadPilot   14: 131072 op, 131916744.00 ns, 1.0064 us/op
WorkloadPilot   15: 262144 op, 267709547.00 ns, 1.0212 us/op
WorkloadPilot   16: 524288 op, 540867257.00 ns, 1.0316 us/op

OverheadWarmup   1: 524288 op, 1509326.00 ns, 2.8788 ns/op
OverheadWarmup   2: 524288 op, 1365345.00 ns, 2.6042 ns/op
OverheadWarmup   3: 524288 op, 1261063.00 ns, 2.4053 ns/op
OverheadWarmup   4: 524288 op, 1269164.00 ns, 2.4207 ns/op
OverheadWarmup   5: 524288 op, 1263682.00 ns, 2.4103 ns/op
OverheadWarmup   6: 524288 op, 1318036.00 ns, 2.5140 ns/op
OverheadWarmup   7: 524288 op, 1420148.00 ns, 2.7087 ns/op
OverheadWarmup   8: 524288 op, 1323550.00 ns, 2.5245 ns/op

OverheadActual   1: 524288 op, 1418753.00 ns, 2.7061 ns/op
